id,label,target_label,is_member,pixel_0,filename
0,6,0,true,0.231373,data/data_batch_1.bin_#0
1,9,0,true,0.603922,data/data_batch_1.bin_#1
2,9,0,true,1.000000,data/data_batch_1.bin_#2
3,4,0,true,0.109804,data/data_batch_1.bin_#3
4,1,0,true,0.666667,data/data_batch_1.bin_#4
5,1,0,true,0.623529,data/data_batch_1.bin_#5
6,2,0,true,0.643137,data/data_batch_1.bin_#6
7,7,0,true,0.109804,data/data_batch_1.bin_#7
8,8,0,true,0.525490,data/data_batch_1.bin_#8
9,3,0,true,0.490196,data/data_batch_1.bin_#9
10,4,0,true,0.207843,data/data_batch_1.bin_#10
11,7,0,true,0.556863,data/data_batch_1.bin_#11
12,7,0,true,0.643137,data/data_batch_1.bin_#12
13,2,0,true,0.066667,data/data_batch_1.bin_#13
14,9,0,true,0.392157,data/data_batch_1.bin_#14
15,9,0,true,0.392157,data/data_batch_1.bin_#15
16,9,0,true,0.921569,data/data_batch_1.bin_#16
17,3,0,true,0.431373,data/data_batch_1.bin_#17
18,2,0,true,0.772549,data/data_batch_1.bin_#18
19,6,0,true,0.090196,data/data_batch_1.bin_#19
20,4,0,true,0.600000,data/data_batch_1.bin_#20
21,3,0,true,0.988235,data/data_batch_1.bin_#21
22,6,0,true,0.337255,data/data_batch_1.bin_#22
23,6,0,true,0.494118,data/data_batch_1.bin_#23
24,2,0,true,0.286275,data/data_batch_1.bin_#24
25,6,0,true,0.635294,data/data_batch_1.bin_#25
26,3,0,true,0.513726,data/data_batch_1.bin_#26
27,5,0,true,0.176471,data/data_batch_1.bin_#27
28,4,0,true,0.501961,data/data_batch_1.bin_#28
29,0,0,true,0.792157,data/data_batch_1.bin_#29
30,0,0,true,0.494118,data/data_batch_1.bin_#30
31,9,0,true,0.925490,data/data_batch_1.bin_#31
32,1,0,true,0.196078,data/data_batch_1.bin_#32
33,3,0,true,0.027451,data/data_batch_1.bin_#33
34,4,0,true,0.674510,data/data_batch_1.bin_#34
35,0,0,true,0.984314,data/data_batch_1.bin_#35
36,3,0,true,0.662745,data/data_batch_1.bin_#36
37,7,0,true,0.372549,data/data_batch_1.bin_#37
38,3,0,true,0.431373,data/data_batch_1.bin_#38
39,3,0,true,0.384314,data/data_batch_1.bin_#39
40,5,0,true,0.396078,data/data_batch_1.bin_#40
41,2,0,true,0.568627,data/data_batch_1.bin_#41
42,2,0,true,0.498039,data/data_batch_1.bin_#42
43,7,0,true,0.388235,data/data_batch_1.bin_#43
44,1,0,true,0.545098,data/data_batch_1.bin_#44
45,1,0,true,0.211765,data/data_batch_1.bin_#45
46,1,0,true,0.368627,data/data_batch_1.bin_#46
47,2,0,true,0.301961,data/data_batch_1.bin_#47
48,2,0,true,0.749020,data/data_batch_1.bin_#48
49,0,0,true,1.000000,data/data_batch_1.bin_#49
50,9,0,true,0.062745,data/data_batch_1.bin_#50
51,5,0,true,0.835294,data/data_batch_1.bin_#51
52,7,0,true,0.247059,data/data_batch_1.bin_#52
53,9,0,true,0.615686,data/data_batch_1.bin_#53
54,2,0,true,0.176471,data/data_batch_1.bin_#54
55,2,0,true,0.611765,data/data_batch_1.bin_#55
56,5,0,true,0.552941,data/data_batch_1.bin_#56
57,2,0,true,0.258824,data/data_batch_1.bin_#57
58,4,0,true,0.380392,data/data_batch_1.bin_#58
59,3,0,true,0.988235,data/data_batch_1.bin_#59
60,1,0,true,0.788235,data/data_batch_1.bin_#60
61,1,0,true,0.447059,data/data_batch_1.bin_#61
62,8,0,true,0.298039,data/data_batch_1.bin_#62
63,2,0,true,0.254902,data/data_batch_1.bin_#63
64,1,0,true,0.254902,data/data_batch_1.bin_#64
65,1,0,true,0.580392,data/data_batch_1.bin_#65
66,4,0,true,0.831373,data/data_batch_1.bin_#66
67,9,0,true,0.866667,data/data_batch_1.bin_#67
68,7,0,true,0.431373,data/data_batch_1.bin_#68
69,8,0,true,0.592157,data/data_batch_1.bin_#69
70,5,0,true,0.603922,data/data_batch_1.bin_#70
71,9,0,true,0.662745,data/data_batch_1.bin_#71
72,6,0,true,0.898039,data/data_batch_1.bin_#72
73,7,0,true,0.250980,data/data_batch_1.bin_#73
74,3,0,true,0.764706,data/data_batch_1.bin_#74
75,1,0,true,0.254902,data/data_batch_1.bin_#75
76,9,0,true,0.462745,data/data_batch_1.bin_#76
77,0,0,true,0.172549,data/data_batch_1.bin_#77
78,3,0,true,0.447059,data/data_batch_1.bin_#78
79,1,0,true,0.972549,data/data_batch_1.bin_#79
80,3,0,true,0.298039,data/data_batch_1.bin_#80
81,5,0,true,0.466667,data/data_batch_1.bin_#81
82,4,0,true,0.474510,data/data_batch_1.bin_#82
83,5,0,true,0.341176,data/data_batch_1.bin_#83
84,7,0,true,0.403922,data/data_batch_1.bin_#84
85,7,0,true,0.003922,data/data_batch_1.bin_#85
86,4,0,true,0.419608,data/data_batch_1.bin_#86
87,7,0,true,0.152941,data/data_batch_1.bin_#87
88,9,0,true,0.376471,data/data_batch_1.bin_#88
89,4,0,true,0.639216,data/data_batch_1.bin_#89
90,2,0,true,0.847059,data/data_batch_1.bin_#90
91,3,0,true,0.235294,data/data_batch_1.bin_#91
92,8,0,true,0.415686,data/data_batch_1.bin_#92
93,0,0,true,0.541176,data/data_batch_1.bin_#93
94,1,0,true,0.890196,data/data_batch_1.bin_#94
95,6,0,true,0.964706,data/data_batch_1.bin_#95
96,1,0,true,0.415686,data/data_batch_1.bin_#96
97,1,0,true,0.129412,data/data_batch_1.bin_#97
98,4,0,true,0.352941,data/data_batch_1.bin_#98
99,1,0,true,0.243137,data/data_batch_1.bin_#99
0,3,0,false,0.619608,data/test_batch.bin_#0
1,8,0,false,0.921569,data/test_batch.bin_#1
2,8,0,false,0.619608,data/test_batch.bin_#2
3,0,0,false,0.607843,data/test_batch.bin_#3
4,6,0,false,0.254902,data/test_batch.bin_#4
5,6,0,false,0.701961,data/test_batch.bin_#5
6,1,0,false,0.627451,data/test_batch.bin_#6
7,6,0,false,0.325490,data/test_batch.bin_#7
8,3,0,false,0.090196,data/test_batch.bin_#8
9,1,0,false,0.850980,data/test_batch.bin_#9
10,0,0,false,0.352941,data/test_batch.bin_#10
11,9,0,false,1.000000,data/test_batch.bin_#11
12,5,0,false,0.356863,data/test_batch.bin_#12
13,7,0,false,0.137255,data/test_batch.bin_#13
14,9,0,false,0.784314,data/test_batch.bin_#14
15,8,0,false,0.796078,data/test_batch.bin_#15
16,5,0,false,0.372549,data/test_batch.bin_#16
17,7,0,false,0.235294,data/test_batch.bin_#17
18,8,0,false,0.874510,data/test_batch.bin_#18
19,6,0,false,0.215686,data/test_batch.bin_#19
20,7,0,false,0.188235,data/test_batch.bin_#20
21,0,0,false,0.968627,data/test_batch.bin_#21
22,4,0,false,0.137255,data/test_batch.bin_#22
23,9,0,false,0.309804,data/test_batch.bin_#23
24,5,0,false,0.533333,data/test_batch.bin_#24
25,2,0,false,0.392157,data/test_batch.bin_#25
26,4,0,false,0.419608,data/test_batch.bin_#26
27,0,0,false,0.827451,data/test_batch.bin_#27
28,9,0,false,0.474510,data/test_batch.bin_#28
29,6,0,false,0.345098,data/test_batch.bin_#29
30,6,0,false,0.223529,data/test_batch.bin_#30
31,5,0,false,0.498039,data/test_batch.bin_#31
32,4,0,false,0.400000,data/test_batch.bin_#32
33,5,0,false,0.462745,data/test_batch.bin_#33
34,9,0,false,0.533333,data/test_batch.bin_#34
35,2,0,false,0.258824,data/test_batch.bin_#35
36,4,0,false,0.647059,data/test_batch.bin_#36
37,1,0,false,1.000000,data/test_batch.bin_#37
38,9,0,false,0.858824,data/test_batch.bin_#38
39,5,0,false,0.282353,data/test_batch.bin_#39
40,4,0,false,0.180392,data/test_batch.bin_#40
41,6,0,false,0.188235,data/test_batch.bin_#41
42,5,0,false,0.584314,data/test_batch.bin_#42
43,6,0,false,0.274510,data/test_batch.bin_#43
44,0,0,false,0.184314,data/test_batch.bin_#44
45,9,0,false,0.670588,data/test_batch.bin_#45
46,3,0,false,0.086275,data/test_batch.bin_#46
47,9,0,false,0.282353,data/test_batch.bin_#47
48,7,0,false,0.454902,data/test_batch.bin_#48
49,6,0,false,0.411765,data/test_batch.bin_#49
50,9,0,false,0.588235,data/test_batch.bin_#50
51,8,0,false,0.380392,data/test_batch.bin_#51
52,0,0,false,0.325490,data/test_batch.bin_#52
53,3,0,false,1.000000,data/test_batch.bin_#53
54,8,0,false,0.901961,data/test_batch.bin_#54
55,8,0,false,0.619608,data/test_batch.bin_#55
56,7,0,false,0.298039,data/test_batch.bin_#56
57,7,0,false,0.000000,data/test_batch.bin_#57
58,4,0,false,0.529412,data/test_batch.bin_#58
59,6,0,false,0.501961,data/test_batch.bin_#59
60,7,0,false,0.411765,data/test_batch.bin_#60
61,3,0,false,0.039216,data/test_batch.bin_#61
62,6,0,false,0.000000,data/test_batch.bin_#62
63,3,0,false,0.913725,data/test_batch.bin_#63
64,6,0,false,0.505882,data/test_batch.bin_#64
65,2,0,false,0.788235,data/test_batch.bin_#65
66,1,0,false,0.427451,data/test_batch.bin_#66
67,2,0,false,0.298039,data/test_batch.bin_#67
68,3,0,false,0.239216,data/test_batch.bin_#68
